RTCid,Parent,Sprint,SP
1007046,396415,14.4,2
1007042,1005740,14.3,5
1007030,1006376,14.4,5
1007029,1006376,14.4,2
1007028,384136,14.3,3
1007026,1006376,14.1,2
1007016,384036,14.1,3
1007014,384036,14.3,3
1007013,384036,14.2,3
1007012,384036,14.1,3
1007010,384036,14.3,5
1006992,384036,14.4,3
1006982,384136,14.3,3
1006979,388076,14.1,1
1006978,388076,14.1,3
1006976,388076,14.1,3
1006975,388076,14.2,2
1006955,379761,14.1,1
1006953,379761,14.2,1
1006952,384136,14.2,2
1006948,342054,14.3,2
1006947,342054,14.4,1
1006942,342054,14.2,5
1006940,384136,14.1,5
1006933,384036,14.3,1
1006932,384036,14.2,1
1006922,342054,14.5,2
1006916,342054,14.4,2
1006883,384036,14.3,3
1006877,384036,14.4,5
1006873,384036,14.3,3
1006864,318430,14.1,3
1006852,1006843,14.4,5
1006851,1006843,14.4,2
1006849,1006843,14.4,1
1006820,396415,14.5,2
1006819,396415,14.4,5
1006818,396415,14.3,5
1006817,396415,14.2,5
1006816,396415,14.1,5
1006800,378000,14.1,1
1006799,378000,14.1,1
1006794,378000,14.1,2
1006792,388053,14.3,2
1006790,388053,14.2,2
1006780,386935,14.4,1
1006763,342054,14.3,5
1006761,342054,14.1,2
1006757,378000,14.1,5
1006741,1001912,14.4,5
1006730,395174,14.5,1
1006709,384136,14.4,3
1006708,384136,14.2,3
1006667,376446,14.2,3
1006616,385442,14.2,5
1006613,385442,14.4,3
1006605,385442,14.3,5
1006604,385442,14.4,3
1006603,385442,14.2,2
1006598,385442,14.2,2
1006597,385442,14.4,5
1006596,385442,14.3,3
1006585,388053,14.4,1
1006584,388053,14.5,1
1006583,388053,14.2,5
1006521,387448,14.1,2
1006519,388053,14.1,2
1006482,378000,14.1,3
1006480,378000,14.1,1
1006474,378000,14.1,5
1006454,376446,14.3,3
1006453,376446,14.3,2
1006452,376446,14.2,2
1006307,388549,14.4,5
1006306,388549,14.3,5
1006305,388549,14.2,5
1006303,388549,14.4,2
1006302,388549,14.3,2
1006301,388549,14.2,2
1006300,388549,14.1,2
1006299,388549,14.1,5
1006298,388549,14.3,3
1006297,388549,14.2,3
1006296,388549,14.1,3
1006294,388549,14.4,5
1006293,388549,14.3,5
1006292,388549,14.2,8
1006291,388549,14.1,3
1006290,388549,14.4,8
1006289,388549,14.3,8
1006288,388549,14.2,8
1006287,388549,14.1,8
1006286,388549,14.4,8
1006285,388549,14.3,8
1006284,388549,14.2,8
1006283,388549,14.4,2
1006281,388549,14.3,2
1006280,388549,14.2,2
1006278,388549,14.1,2
1006275,388549,14.4,2
1006274,388549,14.3,2
1006273,388549,14.2,2
1006272,388549,14.4,5
1006271,388549,14.3,5
1006270,388549,14.2,5
1006269,387276,14.5,3
1006267,387276,14.4,2
1006266,387276,14.3,2
1006149,1005740,14.2,5
1006148,1005740,14.1,5
1006147,1005740,14.4,1
1006146,1005740,14.2,1
1006058,395855,14.5,1
1005938,387276,14.4,1
1005937,387276,14.3,1
1005936,387276,14.2,1
1005935,387276,14.4,2
1005771,388549,14.1,2
1005770,388549,14.1,5
1005602,297335,14.2,3
1005561,353134,14.1,3
1005554,395871,14.2,2
1005544,1001248,14.2,1
1005525,383165,14.5,1
1005524,383165,14.5,1
1005511,377437,14.3,3
1005510,377437,14.4,3
1005509,377437,14.2,3
1005440,353256,14.5,3
1005415,1005403,14.3,2
1005414,1005403,14.5,1
1005408,1005403,14.2,1
1005405,1005403,14.1,1
1005404,1005403,14.4,2
1005402,395174,14.2,2
1005396,395174,14.5,1
1005382,396308,14.4,1
1005381,396308,14.3,1
1005380,396308,14.2,1
